date,energy,enthalpy
2020-01-30,7249.08,2641.975494
2020-01-31,7302.9,665.711333
2020-02-01,7325.04,-72.81540373
2020-02-02,7361.194286,-1478.320789
2020-02-03,7342.508571,-2007.600921
2020-02-04,7334.897143,-2034.183004
2020-02-05,7311.034286,-1514.560229
2020-02-06,7283.202857,-912.9732398
2020-02-07,7261.748571,96.689359
2020-02-08,7309.851429,-1697.762854
2020-02-09,7399.834286,-4106.841084
2020-02-10,7436.305714,-5264.381601
2020-02-11,7489.98,-6136.356941
2020-02-12,7489.474286,-5400.634753
2020-02-13,7476.308571,-4277.530155
2020-02-14,7223.914286,-6528.850758
2020-02-15,7213.877143,-6878.059835
2020-02-16,7107.668571,-4044.077064
2020-02-17,7104.077143,-3860.778376
2020-02-18,7141.817143,-4818.756177
2020-02-19,7163.811429,-4992.562799
2020-02-20,7227.094286,-7033.529688
2020-02-21,7562.434286,-6267.157715
2020-02-22,7530.977143,-3679.938255
2020-02-23,7521.977143,-3088.564198
2020-02-24,7516.637143,-1480.603519
2020-02-25,7441.302857,956.4986215
2020-02-26,7423.697143,1314.235244
2020-02-27,7349.785714,4389.432961
2020-02-28,7284.685714,5594.359096
2020-02-29,7323.402857,3830.722648
2020-03-01,7348.414286,1647.735443
2020-03-02,7354.208571,44.59574254
2020-03-03,7356.514286,143.3651903
2020-03-04,7345.268571,832.1434086
2020-03-05,7327.405714,963.2493988
2020-03-06,7280.305714,2564.413908
2020-03-07,7228.174286,3481.453042
2020-03-08,7093.114286,5401.069731
2020-03-09,7027.868571,7218.063832
2020-03-10,6996.24,7021.419198
2020-03-11,6973.954286,5892.872152
2020-03-12,6962.554286,5078.008386
2020-03-13,6957.068571,5843.211547
2020-03-14,6949.14,7570.032281
2020-03-15,7048.517143,6710.122192
2020-03-16,7095.514286,4507.146871
2020-03-17,7091.785714,4246.634722
2020-03-18,7079.674286,4555.245011
2020-03-19,7083.78,5325.391682
2020-03-20,7053.942857,6052.047925
2020-03-21,7064.597143,4707.0717
2020-03-22,7072.002857,4282.859724
2020-03-23,7070.04,5061.943211
2020-03-24,7080.66,5310.63858
2020-03-25,7104.077143,5994.145475
2020-03-26,6919.988571,6940.524903
2020-03-27,6779.562857,6435.694207
2020-03-28,6740.948571,7660.849033
2020-03-29,6698.408571,10089.14773
2020-03-30,6654.865714,12443.06226
2020-03-31,6641.622857,12724.25576
2020-04-01,6637.92,12741.68863
2020-04-02,6804.077143,12374.15419
2020-04-03,6943.577143,13032.08545
2020-04-04,6906.762857,14386.50619
2020-04-05,6761.408571,15394.30068
2020-04-06,6752.202857,14850.4825
2020-04-07,6670.988571,14983.15689
2020-04-08,6616.354286,15029.18764
2020-04-09,6610.988571,14948.68459
2020-04-10,6622.885714,14201.47505
2020-04-11,6658.062857,13105.34189
2020-04-12,6700.851429,12406.52159
2020-04-13,6664.517143,14083.61442
2020-04-14,6737.142857,14303.68663
2020-04-15,6782.468571,14014.7137
2020-04-16,6817.56,13320.44061
2020-04-17,6857.211429,12466.38008
2020-04-18,6850.997143,12418.50467
2020-04-19,6879.248571,12601.99466
2020-04-20,6933.522857,10127.74986
2020-04-21,6972.531429,9554.366486
2020-04-22,7020.694286,8782.677931
2020-04-23,7022.177143,8208.161956
2020-04-24,7004.777143,8219.473315
2020-04-25,6993.968571,8686.144499
2020-04-26,6958.105714,8525.287376
2020-04-27,6904.757143,9354.521643
2020-04-28,6858.762857,9935.289411
2020-04-29,6807.951429,11765.00036
2020-04-30,6731.991429,14602.00486
2020-05-01,6676.14,17746.96713
2020-05-02,6669.66,19266.7474
2020-05-03,6625.817143,21838.99438
2020-05-04,6608.1,23251.70792
2020-05-05,6597.505714,23114.80629
2020-05-06,6571.345714,23025.62277
2020-05-07,6573.471429,21859.55362
2020-05-08,6611.64,18899.28949
2020-05-09,6645.642857,16635.42306
2020-05-10,6711.522857,13980.0701
2020-05-11,6754.92,12976.67976
2020-05-12,6753.205714,12480.2392
2020-05-13,6760.542857,11702.67399
2020-05-14,6766.688571,12009.98785
2020-05-15,6678.745714,14058.72661
2020-05-16,6601.748571,17014.2748
2020-05-17,6534.385714,19481.43851
2020-05-18,6473.391429,20739.38142
2020-05-19,6442.645714,22837.50873
2020-05-20,6431.322857,25146.27372
2020-05-21,6426.651429,27158.57514
2020-05-22,6475.954286,27666.21395
2020-05-23,6477.248571,27296.80387
2020-05-24,6554.125714,27138.71398
2020-05-25,6623.785714,29672.91948
2020-05-26,6787.208571,33890.00074
2020-05-27,7012.5,38623.188
2020-05-28,7190.768571,42274.41947
2020-05-29,7363.645714,46682.88124
2020-05-30,7414.997143,49377.06648
2020-05-31,7407.642857,48155.90256
2020-06-01,7377.54,45249.16997
2020-06-02,7248.651429,40995.3224
2020-06-03,6994.86,37345.87911
2020-06-04,6828.428571,34935.92757
2020-06-05,6692.511429,33194.73364
2020-06-06,6724.628571,33705.2614
2020-06-07,6751.225714,35538.17079
2020-06-08,6731.417143,36818.19234
2020-06-09,6706.045714,38444.26996
2020-06-10,6767.588571,39687.20249
2020-06-11,6879.522857,41111.58159
